8,Коньяк,Коньяк
7,Карамель,Карамель
11,Песочный,Песочный
12,Коньяк,Коньяк
13,Ливинг,Ливинг
15,Коттедж,Коттедж
25,Махагон,"Ясень Махагон"
27,"Слоновая кость","Ясень Слоновая кость"
28,Карамель,Карамель
29,Кофе,Кофе
30,Селект,Селект
31,Барокко,Барокко
32,Сахара,Сахара
39,(KHAMSIN),"Хамсин (KHAMSIN)"
47,Saimaa,Saimaa
48,Natural,Natural
49,"Vanilla Matt","Country Vanilla Matt"
51,Oregano,Oregano
53,White,"Super White"
52,Chocolate,"Darc Chocolate"
54,Grey,Grey
56,Red,"Elm Red"
57,Red,"Elm Red"
60,Натур,"Бамбук Натур"
59,Кофе,"Бамбук Кофе"
61,Вулканик,"Дуб Вулканик"
62,"натур Браш","Дуб натур Браш"
66,Cocoa,Cocoa
69,Ванильный,Ванильный
71,(Avalanche),"Аваланж (Avalanche)"
70,"белый (Antique white)","Антик белый (Antique white)"
72,Орех,Орех
80,Прайм,Прайм
82,термо,"прайм термо"
83,масло,"Alaska масло"
86,White,"Carbon White"
89,Натуральный,"Дуб Натуральный"
90,"Крем белый","Ясень Крем белый"
94,Тренд,Тренд
96,Рустик,Рустик
95,Натур,Натур
104,американский,американский
108,Миндаль,Миндаль
111,Кашемир,Кашемир
112,Айс,Айс
119,"Эбенхольц, масло УФ","Дуб Эбенхольц, масло УФ"
120,"Белый, масло УФ","Дуб Белый, масло УФ"
122,"Платина, лак УФ","Дуб Платина, лак УФ"
123,Леон,Леон
125,Севилья,Севилья
124,Майорка,Майорка
126,Верона,Верона
127,Венеция,Венеция
134,Sasso,Sasso
135,Farina,Farina
136,Дуб,Дуб
138,"Клен Арабика","Твердый Клен Арабика"
137,копчёный,копчёный
152,Traditional,Traditional
150,"Шоколад / Dark chocolate","Тёмный Шоколад / Dark chocolate"
153,белый,"Traditional белый"
154,Pearl,Pearl
162,Сахара,Сахара
155,Antique,Antique
163,Британия,Британия
156,"Old grey","Stonewashed Old grey"
164,Церматт,Церматт
165,(ясень),(ясень)
167,темный,темный
166,Эльм,Эльм
170,светлый,светлый
171,Пулито,Пулито
172,покрытия,"без покрытия"
169,Эстато,Эстато
173,Дуб,Дуб
174,Дуб,Дуб
177,Grey,Grey
175,Дуб,Дуб
179,Noce,Noce
181,"Натур Браш","Дуб Натур Браш"
182,Коньяк,"Дуб Коньяк"
183,Коньяк,"Ясень Коньяк"
185,Вайт,"Дуб Вайт"
184,Селект,"Дуб Селект"
191,Натуральный,"Дуб Натуральный"
193,Siena,"Дуб Siena"
194,Elba,"Дуб Elba"
195,Lido,"Дуб Lido"
186,Американский,Американский
197,Натуральный,Натуральный
196,Натур,Натур
198,Олд,"Ноче Олд"
199,Марроне,Марроне
200,Морденте,Морденте
201,Милан,Милан
202,Мурано,Мурано
203,Флоренция,Флоренция
204,Тоскано,Тоскано
205,Кьянти,Кьянти
206,Термо,Термо
212,Рустик,"сортировка Рустик"
214,Натур,"сортировка Натур"
216,шоколад,"Молочный шоколад"
217,"/ Mocca","Мокка / Mocca"
218,"/ Amber","Янтарный / Amber"
221,Traditional,Traditional
222,белый,"Traditional белый"
224,Antique,Antique
223,"Old grey","Stonewashed Old grey"
226,Сахара,Сахара
227,Британия,Британия
229,(ясень),(ясень)
228,Церматт,Церматт
230,Эльм,Эльм
232,Селект,Селект
233,L,L
234,M,M
235,D,D
236,медовый,"Красный медовый"
238,Умеренно-коричневый,"Красный  Умеренно-коричневый"
241,горизонтальный,"Кофе горизонтальный"
242,Натур,Натур
243,Табако,Табако
245,Карамель,Карамель
247,Кемпас,Кемпас
246,Мербау,Мербау
250,Ормозия,Ормозия
252,Кофе,Кофе
253,золото,"Черное золото"
256,Ироко,Ироко
257,дерево,дерево
258,Ятоба,Ятоба
260,Сукупира,Сукупира
261,Кумару,Кумару
262,Сукупира,Сукупира
259,Боссе,Боссе
263,Палисандр,Палисандр
268,(Ипе),(Ипе)
271,Натур,"Бамбук Натур"
267,вишня),"(Бразильская вишня)"
272,Кофе,"Бамбук Кофе"
273,Кемпас,Кемпас
274,Орех,"Каслин Орех"
277,Белый,"Ясень Белый"
276,"Белый 18х120х300-1800","Дуб Белый 18х120х300-1800"
278,"Светлый орех","Ясень Светлый орех"
280,Шоколад,"Ясень Шоколад"
282,европейский,европейский
284,орех,орех
283,Ятоба,Ятоба
286,рустик,рустик
287,клен,клен
288,натур,натур
289,натур,натур
291,Натуральный,"Дуб Натуральный"
290,селект,селект
293,Monaco,"Дуб Monaco"
294,Dante,"Дуб Dante"
295,Bruno,"Дуб Bruno"
298,маркант,"европейский маркант"
303,"Бурбон, масло Черное УФ МОДУЛЬ № 7","Дуб Бурбон, масло Черное УФ МОДУЛЬ № 7"
304,"лак УФ МОДУЛЬ № 13","Дуб лак УФ МОДУЛЬ № 13"
305,"лак УФ МОДУЛЬ № 12","Дуб лак УФ МОДУЛЬ № 12"
361,Рустик,Рустик
364,Радиал,Радиал
366,Рустик,Рустик
367,Стандарт,Стандарт
369,Радиал,Радиал
373,Радиал,Радиал
368,Натур,Натур
370,Рустик,Рустик
375,Натур,"Европейский Натур"
371,Натур,Натур
377,Стандарт,"Европейксий Стандарт"
382,Балау,Балау
383,Ормозия,Ормозия
384,Аутентика,"Дуб Аутентика"
390,Колорадо,Колорадо
385,Коньячный,Коньячный
391,Орех,Орех
392,горная,горная
393,речной,речной
394,белый,белый
404,122,122
397,Саванна,Саванна
405,107,107
406,414,414
407,153,153
434,21х145,21х145
440,"21 x 145","гладкая 21 x 145"
445,мербау,мербау
446,Мербау,Мербау
447,покрытия,покрытия
449,покрытием,покрытием
461,Банкирай,Банкирай
462,Банкирай,Банкирай
465,Американский,Американский
464,Ипе,Ипе
472,шоколад,шоколад
473,Шамбор,Шамбор
474,Пастель,Пастель
476,Ривьера,Ривьера
477,свет,свет
475,Натуральный,Натуральный
478,Жемчужный,Жемчужный
479,шоколад,шоколад
480,Шамбор,Шамбор
508,"Veneto Borgogna","Corium Veneto Borgogna"
481,Пастель,Пастель
509,"Lombardia Antico","Corium Lombardia Antico"
482,Натуральный,Натуральный
510,"Toscana Ruggine","Corium Toscana Ruggine"
514,"Granorte Corium Lombardia Antico","Granorte Granorte Corium Lombardia Antico"
512,"Veneto Seppia","Corium Veneto Seppia"
516,"Granorte Corium Veneto Seppia","Granorte Granorte Corium Veneto Seppia"
517,"Granorte Corium Calabria Vaniglia","Granorte Granorte Corium Calabria Vaniglia"
515,"Granorte Corium Toscana Ruggine","Granorte Granorte Corium Toscana Ruggine"
513,"Granorte Corium Veneto Borgogna","Granorte Granorte Corium Veneto Borgogna"
522,Термоясень,Термоясень
521,Термоясень,Термоясень
523,Термоясень,Термоясень
524,ванной,ванной
525,ванной,ванной
526,ванной,ванной
527,ванной,ванной
531,Дуб,Дуб
532,Ясень,Ясень
536,"- StrongAir Elite+","unique - StrongAir Elite+"
534,Бук,Бук
535,Дуб,Дуб
537,"- StrongAir Elite+","natur - StrongAir Elite+"
539,"- StrongAir Elite","natur - StrongAir Elite"
538,"- StrongAir Elite","unique - StrongAir Elite"
540,"- SpringAir Elite+","unique - SpringAir Elite+"
544,Черный,Черный
545,Антик,"Черный Антик"
546,Красный,Красный
550,дуб,дуб
551,орех,орех
552,золото,"орех золото"
553,Антрацит,Антрацит
554,Бальзамо,Бальзамо
556,Бесцветный,Бесцветный
557,Белый,Белый
559,Вишня,Вишня
560,Ипе,Ипе
558,Венге,Венге
561,Каштан,Каштан
562,Кемпас,Кемпас
564,Лапачо,Лапачо
565,Лимонный,Лимонный
566,Макоре,Макоре
567,дуб,дуб
569,бруса,бруса
568,бруса,бруса
570,косая,косая
572,Планкен,Планкен
595,американский,американский
573,Планкен,Планкен
574,косая,косая
596,Боссе,Боссе
598,Ипе,Ипе
601,(лак),(лак)
605,Классик,"Ноче Классик"
606,Мербау,Мербау
600,(лак),(лак)
610,Махагон,Махагон
612,заказ,заказ
611,заказ,заказ
613,заказ,заказ
614,заказ,заказ
615,заказ,заказ
617,(рулон),(рулон)
618,мм,"3 мм"
616,мм,"2 мм"
629,паркета,паркета
630,маслом,маслом
632,(матовая),"пробки (матовая)"
634,VDP-130,VDP-130
635,P,P
633,P,P
642,200,200
639,NEW,NEW
644,MB,MB
668,Конго,Конго
660,натур,натур
669,селект,селект
674,"скальный - rovere","Дуб скальный - rovere"
670,натуральный,натуральный
675,"скальный - rovere bianco","Дуб скальный - rovere bianco"
676,"скальный - rovere nero","Дуб скальный - rovere nero"
678,"скальный - rovere olio","Дуб скальный - rovere olio"
684,Нордик,Нордик
687,Шоколад,Шоколад
685,Селект,Селект
688,Ванильный,Ванильный
694,светло-соломенный,светло-соломенный
686,Кремовый,Кремовый
695,светло-соломенный,светло-соломенный
696,брют,"буа брют"
697,брют,"буа брют"
698,темно-коричневый,темно-коричневый
700,Зимний,Зимний
701,Светлый,Светлый
699,Дуб,Дуб
703,Летний,Летний
702,Коричневый,Коричневый
705,Gringo,Gringo
707,nat,nat
708,Country,Country
761,Кумару,Кумару
778,Горная,Горная
769,селект,селект
782,Ванила,Ванила
783,Нордик,Нордик
784,Кофе,Кофе
786,Мускат,Мускат
787,Прайм,Прайм
788,Селект,Селект
785,Белый,Белый
789,Натур,Натур
791,Селект,Селект
805,Сукупира,Сукупира
809,Castle,Castle
806,Натур,Натур
810,King,King
811,Queen,Queen
814,Ypsos,Ypsos
816,Silver,Silver
817,Naturo,Naturo
815,White,White
818,Canyon,Canyon
819,Бук,Бук
820,Камбала,Камбала
821,Вишня,Вишня
822,Клен,Клен
823,Венге,Венге
826,420х70х15,420х70х15
824,420х70х15,420х70х15
828,420х70х15,420х70х15
831,"срез Nature","поперечный срез Nature"
832,Nature,"бук Nature"
840,"под заказ","Экономи под заказ"
833,Natur,"бук Natur"
839,Зебрано,Зебрано
841,"под заказ","Экономи под заказ"
842,Люкс,Люкс
843,R-30,"Люкс R-30"
844,Американский,Американский
845,Американский,Американский
884,королевский,королевский
885,золотой,золотой
888,полярный,полярный
895,прованс,прованс
894,прованс,прованс
896,прованс,прованс
897,прованс,прованс
898,прованс,прованс
886,янтарный,янтарный
918,Норвежский,Норвежский
916,Прованс,Прованс
915,Натур,Натур
924,Дуб,Дуб
917,Серый,Серый
925,Дуб,Дуб
940,600-800х100х22,600-800х100х22
948,Кофе,Кофе
950,патина,патина
963,Зебрано,Зебрано
949,Копченый,Копченый
962,Венге,Венге
964,лапачо,лапачо
966,Вишня,Вишня
965,Олива,Олива
986,Лиственница,Лиственница
985,рустик,рустик
1032,915,915
1033,918,918
1014,Бук,Бук
1036,элегантный,элегантный
1037,империал,империал
1039,благородный,благородный
1056,Ятоба,Ятоба
1058,Массарандуба,Массарандуба
1038,декоративный,декоративный
1060,Сукупира,Сукупира
1062,покрытия),покрытия)
1063,покрытия),покрытия)
1064,покрытия),покрытия)
1065,покрытия),покрытия)
1070,мм,"1500x130x18 мм"
1081,Коттедж,Коттедж
1093,(Ipe),(Ipe)
1090,(Cumaru),(Cumaru)
1104,Пальма,Пальма
1102,Кофе,Кофе
1105,пропаренный,"элеганс пропаренный"
1096,FROST,FROST
1107,элеганс,элеганс
1111,Мербау,Мербау
1113,Дуссие,Дуссие
1114,(лак),(лак)
1120,Sarek,Sarek
1145,"Отборн. 20* 130-150*500-2000 мм","Натур Отборн. 20* 130-150*500-2000 мм"
1146,"Отборн. 20* 170*500-2000 мм","Натур Отборн. 20* 170*500-2000 мм"
1144,"Отборн. 20* 120*500-2000 мм","Натур Отборн. 20* 120*500-2000 мм"
1121,Abisko,Abisko
1152,420?70?15мм,"радиал 420?70?15мм"
1147,"20* 120*500-2000 мм","Натур  20* 120*500-2000 мм"
1148,"20* 130-150*500-2000 мм","Натур  20* 130-150*500-2000 мм"
1155,Татачуба,Татачуба
1156,Татачуба,Татачуба
1159,Коттедж,Коттедж
1157,Татачуба,Татачуба
1162,Коньяк,Коньяк
1158,Натур,Натур
1177,"канадский селект лак","Клён канадский селект лак"
1160,Шоколад,Шоколад
1166,Ятоба,Ятоба
1180,Eben,Eben
1185,Cognac,Cognac
1179,Тик,Тик
1178,американский,"Вишня американский"
1175,"американский Натур","Орех американский Натур"
1187,wash,"White wash"
1192,Риспетто,Риспетто
1191,Фореста,Фореста
1194,Миеле,"Бьянко Миеле"
1174,"американский Селект","Орех американский Селект"
1198,Черный,Черный
1195,Карамель,"Бьянки Карамель"
1193,Айсберг,Айсберг
1197,Готик,Готик
1199,орех,"Светлый орех"
1200,орех,"Темный орех"
1201,Ясень,Ясень
1196,Аффумикато,Аффумикато
1202,Жемчуг,"Розовый Жемчуг"
1205,Вереск,Вереск
1203,Бриз,Бриз
1204,Грей,Грей
1206,Нордик,Нордик
1231,Snow,Snow
1230,Farina,Farina
1207,Полярный,Полярный
1208,Жемчужный,Жемчужный
1228,Дуб,Дуб
1229,Дуб,Дуб
1241,Avorio,Avorio
1239,Crema,Crema
1242,Sasso,Sasso
1233,Farina,Farina
1232,американская,американская
1243,канадский,канадский
1246,Gold,Gold
1249,"лак УФ МОДУЛЬ № 11","Дуб лак УФ МОДУЛЬ № 11"
1244,селект,селект
1238,Копчёный,Копчёный
1245,Avorio,Avorio
1254,"Антик, морёный, масло OSMO МОДУЛЬ №11","Дуб Антик, морёный, масло OSMO МОДУЛЬ №11"
1252,"Антик, морёный, масло OSMO МОДУЛЬ № 11","Дуб Антик, морёный, масло OSMO МОДУЛЬ № 11"
1255,"Антик, морёный, масло Черное OSMO МОДУЛЬ № 2","Дуб Антик, морёный, масло Черное OSMO МОДУЛЬ № 2"
1253,"Антик, морёный, масло OSMO МОДУЛЬ № 2","Дуб Антик, морёный, масло OSMO МОДУЛЬ № 2"
1259,"морёный, лак УФ МОДУЛЬ № 2","Дуб морёный, лак УФ МОДУЛЬ № 2"
1260,"морёный, масло OSMO МОДУЛЬ № 3","Дуб морёный, масло OSMO МОДУЛЬ № 3"
1303,Арктика,Арктика
1305,Сад,Сад
1316,белый,"Копченый белый"
1320,Латте,Латте
1314,Селект,"Браш Селект"
1323,Капучино,Капучино
1319,Антик,Антик
1321,Робусто,Робусто
